"Entity ID","Yext ID","Entity Type","Address > City","Address > Region","City or Region","State Name"
"1003","1457201","Location","Queens","NY","",""
"4505","1457204","Location","Kaneohe","HI","",""
"6311","1457206","Location","Kent","OH","",""
"6604","1457213","Location","Lake Geneva","WI","",""
"4511","1457214","Location","Lanai City","HI","",""
"5615","1457215","Location","Laurinburg","NC","",""
"6465","1457216","Location","Dayton","OH","",""
"1503","1457217","Location","Liberty","NY","",""
"6164","1457219","Location","Lima","OH","",""
"3607","1457220","Location","Littleton","NH","",""
"4068","1457221","Location","Los Angeles","CA","",""
"4028","1457222","Location","Los Angeles","CA","",""
"6572","1457224","Location","Madisonville","KY","",""
"6616","1457227","Location","Wauwatosa","WI","",""
"2261","1457228","Location","El Paso","TX","",""
"6574","1457229","Location","Middlesboro","KY","",""
"3609","1457231","Location","Wells","ME","",""
"5156","1457234","Location","Mount Airy","NC","",""
"1251","1457235","Location","Mount Vernon","NY","",""
"2508","1457237","Location","New Braunfels","TX","",""
"1505","1457238","Location","Newburgh","NY","",""
"5604","1457241","Location","Columbia","SC","",""
"3213","1457242","Location","Norwich","NY","",""
"3217","1457244","Location","Oswego","NY","",""
"4059","1457245","Location","Palm Springs","CA","",""
"2510","1457247","Location","McAllen","TX","",""
"6320","1457251","Location","Port Clinton","OH","",""
"4259","1457253","Location","Pullman","WA","",""
"1004","1457254","Location","Elmhurst","NY","",""
"6613","1457255","Location","Racine","WI","",""
"2511","1457258","Location","Rio Grande City","TX","",""
"3615","1457260","Location","Saco","ME","",""
"4062","1457262","Location","San Diego","CA","",""
"4037","1457263","Location","Santa Ana","CA","",""
"4040","1457264","Location","Santa Paula","CA","",""
"6576","1457268","Location","Somerset","KY","",""
"2011","1457269","Location","Austin","TX","",""
"6611","1457270","Location","Greendale","WI","",""
"6478","1457272","Location","Springfield","OH","",""
"1005","1457273","Location","Staten Island","NY","",""
"5000","1457274","Location","Statesville","NC","",""
"4255","1457278","Location","Telluride","CO","",""
"4066","1457280","Location","Torrance","CA","",""
"3414","1457286","Location","Webster","NY","",""
"5309","1457290","Location","Wilmington","NC","",""
"5457","1457291","Location","Wilson","NC","",""
"3616","1457292","Location","Windham","ME","",""
"3617","1457293","Location","Winslow","ME","",""
"5014","1457294","Location","Winston-Salem","NC","",""
"3221","1457295","Location","Syracuse","NY","",""
"6013","1457296","Location","York","NE","",""
"4510","1742545","Location","Kaunakakai","HI","",""
"3214","1747521","Location","Ogdensburg","NY","",""
"6558","1747522","Location","Edgewood","KY","",""
"1006","1747523","Location","Staten Island","NY","",""
"6473","1747524","Location","Owensboro","KY","",""
"2005","1747525","Location","Austin","TX","",""
"6156","1747529","Location","Columbus","OH","",""
"6323","1747530","Location","Wadsworth","OH","",""
"5602","1747531","Location","Columbia","SC","",""
"3600","1747532","Location","Orange","MA","",""
"6463","1747534","Location","Lawrenceburg","KY","",""
"3605","1747535","Location","Keene","NH","",""
"6169","1747539","Location","Newark","OH","",""
"4055","1747541","Location","Coronado","CA","",""
"3220","1747542","Location","Rome","NY","",""
"2010","1747543","Location","San Marcos","TX","",""
"6151","1747545","Location","Bowling Green","OH","",""
"6466","1747547","Location","London","KY","",""
"4056","1747550","Location","Desert Hot Springs","CA","",""
"1506","1747552","Location","Poughkeepsie","NY","",""
"3412","1747556","Location","Olean","NY","",""
"5010","1747558","Location","Salisbury","NC","",""
"6170","1747559","Location","Portsmouth","OH","",""
"5011","1747560","Location","Shelby","NC","",""
"3216","1747561","Location","Oneonta","NY","",""
"6309","1747562","Location","Garfield Heights","OH","",""
"4029","1747563","Location","Moreno Valley","CA","",""
"6163","1747565","Location","Lancaster","OH","",""
"4060","1747566","Location","Rancho Penasquitos","CA","",""
"1502","1747570","Location","Kingston","NY","",""
"4071","1747571","Location","Van Nuys","CA","",""
"5165","1747572","Location","Richlands","VA","",""
"5007","1747578","Location","Monroe","NC","",""
"6612","1747582","Location","West Allis","WI","",""
"2270","1747584","Location","Mesquite","TX","",""
"3416","1747585","Location","Westfield","NY","",""
"4009","1747586","Location","City of Industry","CA","",""
"5157","1747587","Location","Reidsville","NC","",""
"4019","1747590","Location","Fullerton","CA","",""
"6314","1747591","Location","Mansfield","OH","",""
"6166","1747592","Location","Marion","OH","",""
"6479","1747593","Location","Terre Haute","IN","",""
"6551","1747594","Location","New Albany","IN","",""
"4064","1747596","Location","Westminster","CA","",""
"6161","1747599","Location","Fremont","OH","",""
"6313","1747600","Location","Lorain","OH","",""
"5162","1747602","Location","Greensboro","NC","",""
"6556","1747604","Location","Newport","KY","",""
"6005","1747605","Location","Lee's Summit","MO","",""
"4003","1747606","Location","Barstow","CA","",""
"6553","1747607","Location","Evansville","IN","",""
"5613","1747610","Location","Hartsville","SC","",""
"1504","1747614","Location","Middletown","NY","",""
"3003","1747615","Location","Lee","MA","",""
"1250","1747617","Location","Palisades Park","NJ","",""
"6160","1747618","Location","Findlay","OH","",""
"5003","1747622","Location","Gastonia","NC","",""
"2013","1747624","Location","Waco","TX","",""
"6453","1747625","Location","Danville","KY","",""
"6609","1747627","Location","Plymouth","WI","",""
"6470","1747628","Location","Mount Sterling","KY","",""
"3204","1747630","Location","Cortland","NY","",""
"3004","1747631","Location","North Adams","MA","",""
"6450","1747632","Location","Ashland","KY","",""
"3002","1747633","Location","Glens Falls","NY","",""
"2506","1747635","Location","Harlingen","TX","",""
"5001","1747636","Location","Albemarle","NC","",""
"2520","1747638","Location","Laredo","TX","",""
"6318","1747640","Location","North Olmsted","OH","",""
"6573","1747643","Location","Lexington","KY","",""
"6602","1747644","Location","Green Bay","WI","",""
"4038","1747649","Location","Santa Clarita","CA","",""
"3212","1747650","Location","Massena","NY","",""
"6150","1747651","Location","Athens","OH","",""
"6454","1747652","Location","Dayton","OH","",""
"6319","1747654","Location","Norwalk","OH","",""
"6587","1747656","Location","Louisville","KY","",""
"5153","1747659","Location","Thomasville","NC","",""
"4002","1747660","Location","Banning","CA","",""
"4506","1747661","Location","Lihue","HI","",""
"2264","1747665","Location","Orange","TX","",""
"5012","1747668","Location","Charlotte","NC","",""
"5152","1747669","Location","Burlington","NC","",""
"6153","1747670","Location","Chillicothe","OH","",""
"6614","1747672","Location","Milwaukee","WI","",""
"6461","1747673","Location","Cincinnati","OH","",""
"3224","1747675","Location","Watertown","NY","",""
"6552","1747676","Location","Jeffersonville","IN","",""
"5009","1747677","Location","Rockingham","NC","",""
"3404","1747678","Location","Buffalo","NY","",""
"3211","1747681","Location","Malone","NY","",""
"5305","1747682","Location","Southern Pines","NC","",""
"6605","1747683","Location","Marinette","WI","",""
"6588","1747684","Location","Louisville","KY","",""
"3406","1747685","Location","Dunkirk","NY","",""
"3005","1747686","Location","Pittsfield","MA","",""
"3613","1747687","Location","Rockland","ME","",""
"2503","1747688","Location","Corpus Christi","TX","",""
"3413","1747690","Location","Orchard Park","NY","",""
"6177","1747693","Location","Grove City","OH","",""
"6563","1747695","Location","Louisville","KY","",""
"6451","1747696","Location","Berea","KY","",""
"6324","1747697","Location","Warren","OH","",""
"2512","1747698","Location","San Antonio","TX","",""
"4058","1747699","Location","Palm Desert","CA","",""
"3001","1747702","Location","Amsterdam","NY","",""
"3225","1747704","Location","Saranac Lake","NY","",""
"6452","1747705","Location","Clarksburg","WV","",""
"6554","1747707","Location","Bowling Green","KY","",""
"2009","1747709","Location","Port Arthur","TX","",""
"6007","1747710","Location","Lincoln","NE","",""
"6006","1747711","Location","Leavenworth","KS","",""
"3603","1747712","Location","Center Conway","NH","",""
"6305","1747716","Location","Elyria","OH","",""
"3206","1747718","Location","East Syracuse","NY","",""
"6317","1747721","Location","New Philadelphia","OH","",""
"4015","1747726","Location","Culver City","CA","",""
"3612","1747727","Location","Presque Isle","ME","",""
"2505","1747729","Location","Eagle Pass","TX","",""
"2271","1747732","Location","Plano","TX","",""
"5458","1747733","Location","Elizabeth City","NC","",""
"2250","1747734","Location","El Paso","TX","",""
"4047","1747738","Location","Oxnard","CA","",""
"3201","1747739","Location","Baldwinsville","NY","",""
"6176","1747740","Location","Zanesville","OH","",""
"4053","1747741","Location","Yucca Valley","CA","",""
"1002","1747742","Location","Brooklyn","NY","",""
"3007","1747745","Location","Saratoga Springs","NY","",""
"6327","1747747","Location","Youngstown","OH","",""
"6012","1747750","Location","Kansas City","KS","",""
"5151","1747754","Location","Asheboro","NC","",""
"6580","1747758","Location","Murray","KY","",""
"5464","1747759","Location","Goldsboro","NC","",""
"4007","1747760","Location","Chatsworth","CA","",""
"2012","2069559","Location","Temple","TX","",""
"3010","2069560","Location","Troy","NY","",""
"6014","2069562","Location","Kansas City","MO","",""
"6328","2069563","Location","Mentor","OH","",""
"6559","2069566","Location","Henderson","KY","",""
"4069","2069567","Location","Lynwood","CA","",""
"2014","2069568","Location","Round Rock","TX","",""
"2007","2069569","Location","Killeen","TX","",""
"1008","2153123","Location","New York","NY","",""
"1010","2496638","Location","Flushing","NY","",""
"6157","2552769","Location","Coshocton","OH","",""
"1011","2672575","Location","Astoria","NY","",""
"2502","2833315","Location","Brownsville","TX","",""
"4070","2838838","Location","Thousand Oaks","CA","",""
"5013","2900606","Location","Charlotte","NC","",""
"1012","3313536","Location","New York","NY","",""
"5621","3872750","Location","Georgetown","SC","",""
"3621","3872756","Location","Plymouth","NH","",""
"5452","3872759","Location","Chapel Hill","NC","",""
"4045","3872761","Location","Ontario","CA","",""
"5685","5825904","Location","Cedartown","GA","",""
"4357","5825905","Location","Astoria","OR","",""
"5655","5825906","Location","Covington","GA","",""
"4381","5825909","Location","San Bernardino","CA","",""
"5679","5825911","Location","Athens","GA","",""
"5757","5825912","Location","Athens","AL","",""
"5697","5825913","Location","Auburn","AL","",""
"5851","5825915","Location","Columbia","TN","",""
"6231","5825916","Location","Columbia","MO","",""
"5659","5825918","Location","Duluth","GA","",""
"6335","5825919","Location","Duluth","MN","",""
"6213","5825921","Location","Farmington","MO","",""
"5687","5825923","Location","Greenville","SC","",""
"6763","5825924","Location","Greenville","MI","",""
"5771","5825926","Location","Jasper","AL","",""
"5869","5825929","Location","Lebanon","TN","",""
"5863","5825930","Location","Lexington","TN","",""
"7038","5825932","Location","Marion","IN","",""
"5667","5825933","Location","Marion","NC","",""
"5867","5825934","Location","Maryville","TN","",""
"6971","5825936","Location","Monroe","MI","",""
"4341","5825937","Location","Newport","OR","",""
"4383","5825938","Location","Ventura","CA","",""
"3121","5825939","Location","Webster","MA","",""
"4299","5825940","Location","Sterling","CO","",""
"7000","5825942","Location","Auburndale","FL","",""
"4377","5825943","Location","Yakima","WA","",""
"4351","5825944","Location","Tillamook","OR","",""
"5059","5825947","Location","North Wilkesboro","NC","",""
"5871","5825950","Location","Kingsport","TN","",""
"5057","5825952","Location","Morganton","NC","",""
"4367","5825953","Location","Rancho Cucamonga","CA","",""
"5873","5825954","Location","Rogersville","TN","",""
"6753","5825956","Location","Big Rapids","MI","",""
"5797","5825958","Location","Dalton","GA","",""
"4361","5825959","Location","Ellensburg","WA","",""
"6343","5825961","Location","Owatonna","MN","",""
"5053","5825962","Location","Hickory","NC","",""
"5891","5825964","Location","Martin","TN","",""
"4371","5825965","Location","Walla Walla","WA","",""
"6767","5825966","Location","Ironwood","MI","",""
"5887","5825967","Location","Farragut","TN","",""
"4289","5825968","Location","Montrose","CO","",""
"5055","5825970","Location","Lincolnton","NC","",""
"6673","5825973","Location","Altoona","WI","",""
"4295","5825974","Location","Scottsbluff","NE","",""
"6669","5825975","Location","Winona","MN","",""
"6659","5825977","Location","Onalaska","WI","",""
"5889","5825978","Location","Cleveland","TN","",""
"5689","5825979","Location","Smyrna","GA","",""
"5695","5825980","Location","Lagrange","GA","",""
"6801","5825981","Location","Holland","MI","",""
"4321","5825982","Location","Crescent City","CA","",""
"6211","5825983","Location","Centralia","IL","",""
"6203","5825984","Location","Arnold","MO","",""
"4279","5825985","Location","Great Falls","MT","",""
"6655","5825989","Location","Janesville","WI","",""
"5653","5825990","Location","Columbus","GA","",""
"5759","5825991","Location","Russellville","AL","",""
"7012","5825993","Location","Lakeland","FL","",""
"7047","5825994","Location","Eufaula","AL","",""
"4297","5825995","Location","Sheridan","WY","",""
"4359","5825997","Location","Coos Bay","OR","",""
"7037","5826002","Location","Livonia","MI","",""
"4307","5826003","Location","Durango","CO","",""
"7009","5826004","Location","Daytona Beach","FL","",""
"5677","5826005","Location","Waynesville","NC","",""
"4329","5826006","Location","Cottage Grove","OR","",""
"6667","5826008","Location","West Bend","WI","",""
"3119","5826009","Location","Southbridge","MA","",""
"3115","5826010","Location","Willimantic","CT","",""
"5683","5826011","Location","Carrollton","GA","",""
"6765","5826014","Location","Houghton","MI","",""
"6663","5826015","Location","Sheboygan","WI","",""
"5763","5826016","Location","Decatur","AL","",""
"6653","5826018","Location","Fond Du Lac","WI","",""
"5805","5826019","Location","Thibodaux","LA","",""
"7043","5826020","Location","Birmingham","AL","",""
"5675","5826021","Location","Thomaston","GA","",""
"7040","5826022","Location","Delano","CA","",""
"6351","5826023","Location","Mankato","MN","",""
"6339","5826024","Location","Lakeville","MN","",""
"5875","5826026","Location","Clarksville","TN","",""
"3103","5826027","Location","Easthampton","MA","",""
"7019","5826030","Location","Orlando","FL","",""
"5877","5826034","Location","McMinnville","TN","",""
"4265","5826035","Location","Butte","MT","",""
"6973","5826036","Location","Mount Pleasant","MI","",""
"6651","5826037","Location","Beloit","WI","",""
"6751","5826040","Location","Alpena","MI","",""
"6111","5826042","Location","Sedalia","MO","",""
"5857","5826044","Location","Tullahoma","TN","",""
"5363","5826045","Location","Suffolk","VA","",""
"5061","5826046","Location","Lenoir","NC","",""
"6355","5826047","Location","Austin","MN","",""
"6781","5826050","Location","Petoskey","MI","",""
"6107","5826051","Location","Hastings","NE","",""
"6341","5826052","Location","Rice Lake","WI","",""
"4031","5826053","Location","Long Beach","CA","",""
"7005","5826054","Location","Bunnell","FL","",""
"7024","5826055","Location","Saint Petersburg","FL","",""
"5881","5826056","Location","McKenzie","TN","",""
"2105","5826058","Location","Spring","TX","",""
"2109","5826061","Location","Denton","TX","",""
"6225","5826064","Location","Sikeston","MO","",""
"5879","5826065","Location","Morristown","TN","",""
"4311","5826066","Location","Grand Junction","CO","",""
"5777","5826067","Location","Cullman","AL","",""
"6791","5826068","Location","Traverse City","MI","",""
"6789","5826069","Location","Sault Ste. Marie","MI","",""
"4293","5826070","Location","San Luis Obispo","CA","",""
"7007","5826071","Location","Clearwater","FL","",""
"4339","5826073","Location","Lincoln City","OR","",""
"7014","5826074","Location","Lecanto","FL","",""
"5753","5826076","Location","Selma","AL","",""
"6679","5826077","Location","Fitchburg","WI","",""
"5769","5826081","Location","Fort Payne","AL","",""
"3101","5826082","Location","Barre","VT","",""
"7036","5826083","Location","Indianapolis","IN","",""
"7033","5826084","Location","Wesley Chapel","FL","",""
"6201","5826086","Location","Alton","IL","",""
"6671","5826089","Location","Wisconsin Rapids","WI","",""
"6215","5826091","Location","Florissant","MO","",""
"5767","5826094","Location","Childersburg","AL","",""
"6793","5826096","Location","West Branch","MI","",""
"6777","5826097","Location","Oscoda","MI","",""
"7020","5826098","Location","Orlando","FL","",""
"6975","5826101","Location","Negaunee","MI","",""
"4025","5826102","Location","Riverside","CA","",""
"4327","5826104","Location","Carson City","NV","",""
"4325","5826105","Location","Porterville","CA","",""
"6783","5826108","Location","Plainwell","MI","",""
"6769","5826109","Location","Kingsford","MI","",""
"7049","5826111","Location","Wetumpka","AL","",""
"6353","5826112","Location","Willmar","MN","",""
"6345","5826113","Location","Waite Park","MN","",""
"6759","5826114","Location","Escanaba","MI","",""
"5663","5826115","Location","Lanett","AL","",""
"7028","5826118","Location","Tarpon Springs","FL","",""
"4277","5826119","Location","Gillette","WY","",""
"4347","5826121","Location","Big Bear Lake","CA","",""
"1009","5826123","Location","New York","NY","",""
"5693","5826125","Location","Newnan","GA","",""
"3113","5826126","Location","Ludlow","MA","",""
"5779","5826127","Location","Tuscaloosa","AL","",""
"7039","5826129","Location","Bakersfield","CA","",""
"7025","5826131","Location","Tampa","FL","",""
"4315","5826133","Location","Watsonville","CA","",""
"4335","5826134","Location","Irwindale","CA","",""
"6657","5826136","Location","Marshfield","WI","",""
"5657","5826137","Location","Dublin","GA","",""
"6221","5826139","Location","Osage Beach","MO","",""
"3117","5826140","Location","Chicopee","MA","",""
"7002","5826144","Location","Bradenton","FL","",""
"5807","5826145","Location","Opelousas","LA","",""
"5765","5826146","Location","Hoover","AL","",""
"4343","5826148","Location","Roseburg","OR","",""
"6787","5826150","Location","Saginaw","MI","",""
"6797","5826151","Location","Ludington","MI","",""
"6239","5826152","Location","Chesterfield","MO","",""
"5803","5826153","Location","Slidell","LA","",""
"6105","5826154","Location","North Platte","NE","",""
"6103","5826156","Location","Warrensburg","MO","",""
"4271","5826157","Location","Cheyenne","WY","",""
"6755","5826158","Location","Cadillac","MI","",""
"6209","5826160","Location","Cape Girardeau","MO","",""
"6233","5826163","Location","Hannibal","MO","",""
"6227","5826164","Location","Saint Louis","MO","",""
"6799","5826165","Location","Coldwater","MI","",""
"5353","5826166","Location","Chincoteague","VA","",""
"3107","5826167","Location","Plattsburgh","NY","",""
"5885","5826170","Location","Sevierville","TN","",""
"5669","5826171","Location","Milledgeville","GA","",""
"7015","5826173","Location","Melbourne","FL","",""
"7030","5826175","Location","Titusville","FL","",""
"5761","5826177","Location","Gardendale","AL","",""
"6779","5826178","Location","Owosso","MI","",""
"6757","5826179","Location","Davison","MI","",""
"5773","5826180","Location","Montgomery","AL","",""
"4345","5826181","Location","Alhambra","CA","",""
"5051","5826182","Location","Boone","NC","",""
"4353","5826185","Location","Medford","OR","",""
"2103","5826187","Location","Granbury","TX","",""
"6109","5826190","Location","Kearney","NE","",""
"4309","5826191","Location","Gilroy","CA","",""
"6661","5826192","Location","Rhinelander","WI","",""
"6331","5826193","Location","Baxter","MN","",""
"6675","5826195","Location","Wausau","WI","",""
"6219","5826196","Location","O'Fallon","MO","",""
"3619","5826197","Location","Worcester","MA","",""
"5755","5826198","Location","Alexander City","AL","",""
"5691","5826199","Location","Asheville","NC","",""
"3015","5826201","Location","Newtown","CT","",""
"2101","5826202","Location","Cleburne","TX","",""
"5775","5826203","Location","Albertville","AL","",""
"5865","5826205","Location","Savannah","TN","",""
"6223","5826206","Location","Overland","MO","",""
"5861","5826207","Location","Jackson","TN","",""
"5661","5826208","Location","Fort Benning","GA","",""
"4281","5826213","Location","Helena","MT","",""
"6241","5978957","Location","Collinsville","IL","",""
"3610","5978958","Location","Mexico","ME","",""
"5311","8558195","Location","Roanoke Rapids","NC","",""
"5469","8558196","Location","Cary","NC","",""
"5654","8743016","Location","Raleigh","NC","",""
"5459","8847990","Location","Southern Shores","NC","",""
"2521","8847993","Location","Frisco","TX","",""
"7051","10768765","Location","Clearwater","FL","",""
"1014","11099417","Location","New York","NY","",""
"1026","11147821","Location","Astoria","NY","",""
"2283","11200690","Location","Fort Worth","TX","",""
"1016","11200816","Location","Jamaica","NY","",""
"2279","11286705","Location","Fort Worth","TX","",""
"2273","11330367","Location","Euless","TX","",""
"6557","11397734","Location","Springdale","OH","",""
"7063","11398442","Location","Lakeland","FL","",""
"7069","11557414","Location","Orlando","FL","",""
"4017","11557606","Location","Brea","CA","",""
"2275","11558188","Location","Lewisville","TX","",""
"2281","11558249","Location","Southlake","TX","",""
"2263","11585180","Location","Fort Worth","TX","",""
"4024","11585354","Location","Jurupa Valley","CA","",""
"7058","11610797","Location","Kissimmee","FL","",""
"3622","11651169","Location","South Portland","ME","",""
"4514","11651792","Location","Honolulu","HI","",""
"5467","11754088","Location","Cary","NC","",""
"1018","11775125","Location","Bayside","NY","",""
"7065","11775157","Location","Tampa","FL","",""
"7073","11775185","Location","Orlando","FL","",""
"7053","11775208","Location","Altamonte Springs","FL","",""
"7077","11775279","Location","Sanford","FL","",""
"4085","11833578","Location","Lancaster","CA","",""
"6493","11894527","Location","Louisville","KY","",""
"6489","11894545","Location","Columbus","OH","",""
"5652","11948064","Location","Anderson","SC","",""
"6357","12117143","Location","Rochester","MN","",""
"2509","12117297","Location","Mission","TX","",""
"2522","12141421","Location","Live Oak","TX","",""
"5008","12143397","Location","Kannapolis","NC","",""
"5754","12143961","Location","Birmingham","AL","",""
"7057","12213188","Location","Orlando","FL","",""
"7074","12213195","Location","Orlando","FL","",""
"6492","12213262","Location","Columbus","OH","",""
"6496","12213391","Location","Richmond","KY","",""
"4014","12237361","Location","Montclair","CA","",""
"4026","12237617","Location","Lake Elsinore","CA","",""
"7078","12268664","Location","West Melbourne","FL","",""
"2277","12268713","Location","Irving","TX","",""
"2285","12279167","Location","Carrollton","TX","",""
"6652","12279636","Location","Madison","WI","",""
"7055","12335064","Location","Orange City","FL","",""
"6487","12335213","Location","Cincinnati","OH","",""
"3418","12335270","Location","Lockport","NY","",""
"6491","12414882","Location","Cincinnati","OH","",""
"7054","12415316","Location","Ocoee","FL","",""
"2516","12508700","Location","San Antonio","TX","",""
"5650","12508713","Location","Greenville","SC","",""
"7090","12508765","Location","Brandon","FL","",""
"4021","12635225","Location","Cypress","CA","",""
"5802","12635263","Location","Hammond","LA","",""
"6002","12635285","Location","Grand Island","NE","",""
"7056","12635301","Location","Orlando","FL","",""
"6565","12635346","Location","Lexington","KY","",""
"2287","12635355","Location","El Paso","TX","",""
"2288","12669909","Location","Wichita Falls","TX","",""
"4076","12669924","Location","Hemet","CA","",""
"4036","12669946","Location","Simi Valley","CA","",""
"5612","12669972","Location","Orangeburg","SC","",""
"5752","12670133","Location","Cookeville","TN","",""
"6302","12670170","Location","Beachwood","OH","",""
"AverillParkNY-internet","12698426","Internet City/State","","","Averill Park","New York"
"AuroraNC-internet","12698427","Internet City/State","","","Aurora","North Carolina"
"AuSableForksNY-internet","12698429","Internet City/State","","","Au Sable Forks","New York"
"AmeryWI-internet","12698430","Internet City/State","","","Amery","Wisconsin"
"BeevilleTX-internet","12698431","Internet City/State","","","Beeville","Texas"
"BoykinsVA-internet","12698432","Internet City/State","","","Boykins","Virginia"
"BrentAL-internet","12698433","Internet City/State","","","Brent","Alabama"
"BurnsvilleMN-internet","12698434","Internet City/State","","","Burnsville","Minnesota"
"CantonME-internet","12698435","Internet City/State","","","Canton","Maine"
"CarmelME-internet","12698436","Internet City/State","","","Carmel","Maine"
"CaveJunctionOR-internet","12698437","Internet City/State","","","Cave Junction","Oregon"
"CharltonMA-internet","12698438","Internet City/State","","","Charlton","Massachusetts"
"CliffsideParkNJ-internet","12698439","Internet City/State","","","Cliffside Park","New Jersey"
"ConneautvillePA-internet","12698440","Internet City/State","","","Conneautville","Pennsylvania"
"CooperstownNY-internet","12698441","Internet City/State","","","Cooperstown","New York"
"DinubaCA-internet","12698442","Internet City/State","","","Dinuba","California"
"CottondaleFL-internet","12698443","Internet City/State","","","Cottondale","Florida"
"DolomiteAL-internet","12698444","Internet City/State","","","Dolomite","Alabama"
"EdenNC-internet","12698445","Internet City/State","","","Eden","North Carolina"
"DriftwoodTX-internet","12698446","Internet City/State","","","Driftwood","Texas"
"EllsworthME-internet","12698447","Internet City/State","","","Ellsworth","Maine"
"EastBrookfieldMA-internet","12698448","Internet City/State","","","East Brookfield","Massachusetts"
"EustisFL-internet","12698449","Internet City/State","","","Eustis","Florida"
"GastonSC-internet","12698450","Internet City/State","","","Gaston","South Carolina"
"GraftonWI-internet","12698451","Internet City/State","","","Grafton","Wisconsin"
"GlenmontNY-internet","12698452","Internet City/State","","","Glenmont","New York"
"GrandRapidsMI-internet","12698453","Internet City/State","","","Grand Rapids","Michigan"
"GraysvilleTN-internet","12698454","Internet City/State","","","Graysville","Tennessee"
"HamshireTX-internet","12698455","Internet City/State","","","Hamshire","Texas"
"GreenMountainNC-internet","12698456","Internet City/State","","","Green Mountain","North Carolina"
"HavilandOH-internet","12698457","Internet City/State","","","Haviland","Ohio"
"HaydenCO-internet","12698458","Internet City/State","","","Hayden","Colorado"
"HopeME-internet","12698459","Internet City/State","","","Hope","Maine"
"HubbardOH-internet","12698460","Internet City/State","","","Hubbard","Ohio"
"HungryHorseMT-internet","12698461","Internet City/State","","","Hungry Horse","Montana"
"IndependenceLA-internet","12698462","Internet City/State","","","Independence","Louisiana"
"InterlakenNY-internet","12698463","Internet City/State","","","Interlaken","New York"
"KerhonksonNY-internet","12698464","Internet City/State","","","Kerhonkson","New York"
"LakeMillsWI-internet","12698465","Internet City/State","","","Lake Mills","Wisconsin"
"LangloisOR-internet","12698466","Internet City/State","","","Langlois","Oregon"
"LaurelHillFL-internet","12698467","Internet City/State","","","Laurel Hill","Florida"
"LaurelMT-internet","12698468","Internet City/State","","","Laurel","Montana"
"LenoirCityTN-internet","12698469","Internet City/State","","","Lenoir City","Tennessee"
"LittleGeneseeNY-internet","12698470","Internet City/State","","","Little Genesee","New York"
"LiverpoolNY-internet","12698471","Internet City/State","","","Liverpool","New York"
"LongsSC-internet","12698472","Internet City/State","","","Longs","South Carolina"
"MarlboroNY-internet","12698473","Internet City/State","","","Marlboro","New York"
"MineralCityOH-internet","12698474","Internet City/State","","","Mineral City","Ohio"
"MogadoreOH-internet","12698475","Internet City/State","","","Mogadore","Ohio"
"MountUllaNC-internet","12698476","Internet City/State","","","Mount Ulla","North Carolina"
"NeoshoWI-internet","12698477","Internet City/State","","","Neosho","Wisconsin"
"NewRiegelOH-internet","12698478","Internet City/State","","","New Riegel","Ohio"
"NorthPitcherNY-internet","12698479","Internet City/State","","","North Pitcher","New York"
"OakIslandNC-internet","12698480","Internet City/State","","","Oak Island","North Carolina"
